"2015-16 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schools with 10 or more students enrolled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL CODE,COUNTY,PUB/  PRIV,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,UP-TO-DATE†,,CONDI- TIONAL*,,PME**,,PBE§ ,,HCP-COUNSELED PBE§§ ,,RELIGIOUS PBE§§§ ,,OVER-DUE §§§§,,DTP††  ^,,POLIO¥ ^,,MMR‡  ^,,HEPB§ ^,,VAR¶ ^,,REPORTED¶¶
,,,,,,,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,
0130419,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,HAYWARD,ALAMEDA COUNTY COMMUNITY,,,,,,,,,,,,,,,,,,,,,,,,,,N
0130401,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,SAN LEANDRO,ALAMEDA COUNTY JUVENILE HALL COURT,,,,,,,,,,,,,,,,,,,,,,,,,,N
0123968,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COMMUNITY SCHOOL FOR CREATIVE EDUCATION,33,31,94,2,6,0,0,0,0,0,0,0,0,0,0,31,94,31,94,31,94,31,94,31,94,Y
6001788,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COX ACADEMY,132,66,50,66,50,0,0,0,0,0,0,0,0,0,0,90,68,89,67,86,65,99,75,103,78,Y
0109835,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,NEWARK,FAME PUBLIC CHARTER,,,,,,,,,,,,,,,,,,,,,,,,,,N
6002000,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,LAZEAR CHARTER ACADEMY,70,60,86,10,14,0,0,0,0,0,0,0,0,0,0,63,90,64,91,61,87,66,94,67,96,Y
0125567,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,URBAN MONTESSORI CHARTER,60,48,80,3,5,0,0,9,15,1,2,8,13,0,0,50,83,48,80,50,83,48,80,50,83,Y
0124172,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,YU MING CHARTER,53,50,94,0,0,1,2,2,4,0,0,2,4,0,0,50,94,50,94,50,94,50,94,50,94,Y
6100374,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,AMELIA EARHART ELEMENTARY,137,133,97,2,1,0,0,2,1,2,1,0,0,0,0,134,98,134,98,134,98,134,98,135,99,Y
6110779,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,BAY FARM,63,63,100,0,0,0,0,0,0,0,0,0,0,0,0,63,100,63,100,63,100,63,100,63,100,Y
6090005,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,DONALD D. LUM ELEMENTARY,99,93,94,5,5,0,0,1,1,1,1,0,0,0,0,96,97,97,98,96,97,95,96,97,98,Y
6090013,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,EDISON ELEMENTARY,75,71,95,0,0,0,0,4,5,4,5,0,0,0,0,71,95,71,95,71,95,71,95,71,95,Y
6090021,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,FRANK OTIS ELEMENTARY,99,97,98,2,2,0,0,0,0,0,0,0,0,0,0,98,99,98,99,97,98,99,100,99,100,Y
6090039,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,FRANKLIN ELEMENTARY,72,71,99,0,0,0,0,1,1,1,1,0,0,0,0,71,99,71,99,71,99,71,99,71,99,Y
6090047,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,HENRY HAIGHT ELEMENTARY,69,68,99,0,0,0,0,1,1,1,1,0,0,0,0,68,99,68,99,68,99,68,99,68,99,Y
0126656,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,MAYA LIN,64,57,89,0,0,0,0,7,11,7,11,0,0,0,0,57,89,57,89,57,89,57,89,57,89,Y
0119222,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,NEA COMMUNITY LEARNING CENTER,48,45,94,1,2,1,2,1,2,1,2,0,0,0,0,46,96,46,96,46,96,45,94,46,96,Y
0111765,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,RUBY BRIDGES ELEMENTARY,83,82,99,1,1,0,0,0,0,0,0,0,0,0,0,82,99,82,99,82,99,82,99,82,99,Y
6090120,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,WILLIAM G. PADEN ELEMENTARY,66,66,100,0,0,0,0,0,0,0,0,0,0,0,0,66,100,66,100,66,100,66,100,66,100,Y
