school_code,county,pub-priv,district,city,school_name,enrollment,up-to-date-percentage,conditional-percentage,medical-exemption-percentage,belief-exemption-percentage,religious-belief_exemption_percentage
130419,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,HAYWARD,ALAMEDA COUNTY COMMUNITY,,,,,,
130401,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,SAN LEANDRO,ALAMEDA COUNTY JUVENILE HALL COURT,,,,,,
123968,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COMMUNITY SCHOOL FOR CREATIVE EDUCATION,33,94,6,0,0,0
6001788,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COX ACADEMY,132,50,50,0,0,0
109835,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,NEWARK,FAME PUBLIC CHARTER,,,,,,
6002000,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,LAZEAR CHARTER ACADEMY,70,86,14,0,0,0
125567,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,URBAN MONTESSORI CHARTER,60,80,5,0,15,13
124172,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,YU MING CHARTER,53,94,0,2,4,4
6100374,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,AMELIA EARHART ELEMENTARY,137,97,1,0,1,0
6110779,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,BAY FARM,63,100,0,0,0,0
6090005,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,DONALD D. LUM ELEMENTARY,99,94,5,0,1,0
6090013,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,EDISON ELEMENTARY,75,95,0,0,5,0
6090021,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,FRANK OTIS ELEMENTARY,99,98,2,0,0,0
6090039,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,FRANKLIN ELEMENTARY,72,99,0,0,1,0
6090047,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,HENRY HAIGHT ELEMENTARY,69,99,0,0,1,0
126656,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,MAYA LIN,64,89,0,0,11,0
119222,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,NEA COMMUNITY LEARNING CENTER,48,94,2,2,2,0
111765,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,RUBY BRIDGES ELEMENTARY,83,99,1,0,0,0
6090120,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,WILLIAM G. PADEN ELEMENTARY,66,100,0,0,0,0
6090146,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,CORNELL ELEMENTARY,84,99,0,0,1,0
6095376,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,MARIN ELEMENTARY,84,100,0,0,0,0
6116222,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,OCEAN VIEW ELEMENTARY,145,91,7,0,2,0
6097729,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,BERKELEY ARTS MAGNET AT WHITTIER,84,88,6,0,6,6
6090195,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,CRAGMONT ELEMENTARY,58,91,9,0,0,0
6090211,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,EMERSON ELEMENTARY,38,89,11,0,0,0
6090252,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JEFFERSON ELEMENTARY,96,92,4,0,4,1
6105316,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JOHN MUIR ELEMENTARY,55,60,36,0,4,0
6090278,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,LECONTE ELEMENTARY,76,89,9,0,1,1
6090286,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,MALCOLM X ELEMENTARY,119,81,16,0,3,1
6090302,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,OXFORD ELEMENTARY,59,95,5,0,0,0
6090187,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,ROSA PARKS ENVIRONMENTAL SCIENCE MAGNET,95,95,0,0,4,0
6090310,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,THOUSAND OAKS ELEMENTARY,70,84,7,4,4,1
6090328,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,WASHINGTON ELEMENTARY,91,67,30,3,0,0
131763,ALAMEDA,PUBLIC,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT -STATE SPECIAL SCHL-,FREMONT,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT,12,100,0,0,0,0
6090351,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CASTRO VALLEY ELEMENTARY,99,96,0,0,0,0
6090369,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CHABOT ELEMENTARY,76,97,0,0,0,0
6090393,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,INDEPENDENT ELEMENTARY,120,95,0,0,1,0
6113005,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,JENSEN RANCH ELEMENTARY,59,88,0,0,0,0
6090401,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,MARSHALL ELEMENTARY,70,99,0,0,0,0
6090419,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PALOMARES ELEMENTARY,20,100,0,0,0,0
6090435,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PROCTOR ELEMENTARY,78,91,0,0,3,0
6090468,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,STANTON ELEMENTARY,106,99,0,1,0,0
6090484,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,VANNOY ELEMENTARY,62,92,0,2,2,0
6001374,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,DUBLIN ELEMENTARY,161,96,0,0,4,1
6001390,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,FREDERIKSEN ELEMENTARY,166,99,0,0,1,0
123935,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,HAROLD WILLIAM KOLB,151,99,0,0,1,0
131615,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,J. M. AMADOR ELEMENTARY,179,99,0,0,1,1
6118038,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,JAMES DOUGHERTY ELEMENTARY,173,98,0,1,2,0
114579,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,JOHN GREEN ELEMENTARY,123,98,1,0,1,0
6001424,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,MURRAY ELEMENTARY,114,96,0,2,3,1
6104723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,ARDENWOOD ELEMENTARY,168,99,1,0,0,0
6000558,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BRIER ELEMENTARY,144,100,0,0,0,0
6089320,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BROOKVALE ELEMENTARY,177,97,3,0,1,0
6000566,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,CABRILLO ELEMENTARY,71,100,0,0,0,0
6000590,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,E. M. GRIMMER ELEMENTARY,101,97,1,0,2,0
6111330,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,FOREST PARK ELEMENTARY,141,99,1,0,0,0
6106983,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,FRED E. WEIBEL ELEMENTARY,142,96,1,0,4,0
6000624,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,GLENMOOR ELEMENTARY,101,99,0,0,1,0
6000640,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,HARVEY GREEN ELEMENTARY,72,99,0,0,1,0
6000665,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,J. HALEY DURHAM ELEMENTARY,168,96,2,0,1,0
6000673,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JAMES LEITCH ELEMENTARY,270,99,0,0,1,0
6000541,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN BLACOW ELEMENTARY,102,99,0,0,1,0
6000723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN G. MATTOS ELEMENTARY,75,99,0,0,1,0
6066468,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN GOMES ELEMENTARY,146,97,1,0,1,0
6000681,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOSEPH AZEVADA ELEMENTARY,100,99,0,0,1,0
6090526,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOSHUA CHADBOURNE ELEMENTARY,72,99,0,0,1,0
6090534,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MISSION SAN JOSE ELEMENTARY,96,99,1,0,0,0
6000749,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MISSION VALLEY ELEMENTARY,72,96,3,0,1,1
6000756,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,NILES ELEMENTARY,48,100,0,0,0,0
6000764,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,O. N. HIRSCH ELEMENTARY,53,100,0,0,0,0
6090542,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,OLIVEIRA ELEMENTARY,100,97,1,0,1,0
6000798,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,PARKMONT ELEMENTARY,168,98,0,0,1,0
6000806,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,PATTERSON ELEMENTARY,98,99,0,0,1,0
6090559,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,STEVEN MILLARD ELEMENTARY,84,99,1,0,0,0
6000715,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,TOM MALONEY ELEMENTARY,111,97,1,1,1,0
6000830,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,VALLEJO MILL ELEMENTARY,96,99,0,0,1,0
6089619,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,WARWICK ELEMENTARY,144,99,1,0,0,0
6000889,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,BOWMAN ELEMENTARY,45,96,4,0,0,0
6000905,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,BURBANK ELEMENTARY,172,93,5,1,2,0
6000913,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,CHERRYLAND ELEMENTARY,116,91,9,0,0,0
6000921,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,EAST AVENUE ELEMENTARY,90,90,8,0,2,1
6090583,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,EDEN GARDENS ELEMENTARY,63,97,3,0,0,0
6000947,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,ELDRIDGE ELEMENTARY,39,100,0,0,0,0
6000962,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,FAIRVIEW ELEMENTARY,110,97,3,0,0,0
6113815,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,FAITH RINGGOLD SCHOOL OF ARTS AND SCIENCE,10,100,0,0,0,0
6000988,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,GLASSBROOK ELEMENTARY,96,95,5,0,0,0
6000996,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,HARDER ELEMENTARY,99,96,4,0,0,0
131334,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,HIGHLAND,,,,,,
127696,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,KNOWLEDGE ENLIGHTENS YOU -KEY- ACADEMY,69,99,1,0,0,0
6001044,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,LONGWOOD ELEMENTARY,130,95,5,0,0,0
6001051,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,LORIN A. EDEN ELEMENTARY,57,100,0,0,0,0
6001093,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,PALMA CEIA ELEMENTARY,82,100,0,0,0,0
6001101,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,PARK ELEMENTARY,115,92,8,0,0,0
6001127,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,RUUS ELEMENTARY,97,100,0,0,0,0
6001135,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,SCHAFER PARK ELEMENTARY,123,98,1,0,1,1
6001176,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,SOUTHGATE ELEMENTARY,118,98,2,0,0,0
111815,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,STONEBRAE ELEMENTARY,111,96,4,0,1,1
6062160,ALAMEDA,PUBLIC,HAYWARD UNIFIED,CASTRO VALLEY,STROBRIDGE ELEMENTARY,72,97,3,0,0,0
6001192,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,TREEVIEW ELEMENTARY,69,97,3,0,0,0
6104566,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,TYRRELL ELEMENTARY,88,100,0,0,0,0
6117543,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,ALTAMONT CREEK ELEMENTARY,118,97,2,0,1,0
6071906,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,ARROYO SECO ELEMENTARY,124,99,1,0,0,0
6001259,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,EMMA C. SMITH ELEMENTARY,121,98,1,0,2,0
6001283,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,JACKSON AVENUE ELEMENTARY,88,98,0,0,2,0
6001291,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,JOE MICHELL,95,99,0,0,1,0
6001234,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,JUNCTION K-8,75,100,0,0,0,0
6110332,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,LEO R. CROCE ELEMENTARY,119,96,0,1,3,0
107839,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,LIVERMORE VALLEY CHARTER,144,90,6,0,4,0
6001317,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,MARYLIN AVENUE ELEMENTARY,109,97,2,0,1,0
6089338,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,RANCHO LAS POSITAS ELEMENTARY,121,98,1,0,2,0
6097661,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,SUNSET ELEMENTARY,115,95,0,1,4,0
6001572,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,ALVARADO ELEMENTARY,134,99,1,0,0,0
