school_code,county,pub_priv,district,city,school_name,enrollment,utd_num,utd_per,cond_num,cond_per,pme_num,pme_per,pbe_num,pbe_per,p,q,r,s,t,u,v,w,x,y,z,aa,ab,ac,ad,ae,af,herd,field34,field35,field36,field37,field38,field39,field40,field41,field42,field43,CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,Website,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Latitude,Longitude,AdmFName1,AdmLName1,AdmEmail1,AdmFName2,AdmLName2,AdmEmail2,AdmFName3,AdmLName3,AdmEmail3,LastUpdate,school_code
0123968,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COMMUNITY SCHOOL FOR CREATIVE EDUCATION,33,31,94,2,6,0,0,0,0,0,0,0,0,0,0,31,94,31,94,31,94,31,94,31,94,Y,No,,,,,,,,,,,01100170123968,0691051,12844,Active,Alameda,Alameda County Office of Education,Community School for Creative Education,2111 International Boulevard,2111 International Blvd.,Oakland,94606-4903,CA,2111 International Boulevard,2111 International Blvd.,Oakland,94606-4903,CA,(510) 686-4131,,www.communityschoolforcreativeeducation.org,8/22/2011,,Y,1284,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-7,N,37.784648,-122.23863,Kathryn,Wilson,kathrynw@communityschoolforcreativeeducation.org,,,,,,,6/18/2015,0123968
6001788,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COX ACADEMY,132,66,50,66,50,0,0,0,0,0,0,0,0,0,0,90,68,89,67,86,65,99,75,103,78,Y,No,,,,,,,,,,,01100176001788,0691051,04257,Active,Alameda,Alameda County Office of Education,Cox Academy,9860 Sunnyside Street,9860 Sunnyside St.,Oakland,94603-2750,CA,"303 Hegenberger Road, Ste 301","303 Hegenberger Rd., Ste 301",Oakland,94621,CA,(510) 904-6300,,http://efcps.org,7/1/1980,,Y,0740,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.746513,-122.16182,Kevin,King,kking@efcps.net,,,,,,,6/18/2015,6001788
6002000,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,LAZEAR CHARTER ACADEMY,70,60,86,10,14,0,0,0,0,0,0,0,0,0,0,63,90,64,91,61,87,66,94,67,96,Y,No,,,,,,,,,,,01100176002000,0691051,04288,Active,Alameda,Alameda County Office of Education,Lazear Charter Academy,824 29th Avenue,824 29th Ave.,Oakland,94601-2205,CA,824 29th Avenue,824 29th Ave.,Oakland,94601-2205,CA,(510) 689-2018,,www.efcps.org,7/1/1980,,Y,1464,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,37.776239,-122.23207,Sarah,Morrill,smorrill@efcps.net,Jennifer,Koelling,jkoelling@efcps.org,,,,10/9/2015,6002000
0125567,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,URBAN MONTESSORI CHARTER,60,48,80,3,5,0,0,9,15,1,2,8,13,0,0,50,83,48,80,50,83,48,80,50,83,Y,Yes,,,,,,,,,,,01100170125567,0691051,13008,Active,Alameda,Alameda County Office of Education,Urban Montessori Charter,5328 Brann Street,5328 Brann St.,Oakland,94619-3312,CA,5328 Brann Street,5328 Brann St.,Oakland,94619-3312,CA,(510) 842-1181,,www.urbanmontessori.org,8/27/2012,,Y,1383,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-5,N,37.778352,-122.18950,David,Castillo,davidc@urbanmontessori.org,,,,,,,10/9/2015,0125567
0124172,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,YU MING CHARTER,53,50,94,0,0,1,2,2,4,0,0,2,4,0,0,50,94,50,94,50,94,50,94,50,94,Y,Yes,,,,,,,,,,,01100170124172,0691051,12901,Active,Alameda,Alameda County Office of Education,Yu Ming Charter,1086 Alcatraz Avenue,1086 Alcatraz Ave.,Oakland,94608-1265,CA,1086 Alcatraz Avenue,1086 Alcatraz Ave.,Oakland,94608-1265,CA,(510) 452-2063,,www.yumingschool.org,8/9/2011,,Y,1296,Locally funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-5,N,37.847375,-122.28356,Sue,Park,spark@yumingschool.org,,,,,,,5/10/2016,0124172
6100374,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,AMELIA EARHART ELEMENTARY,137,133,97,2,1,0,0,2,1,2,1,0,0,0,0,134,98,134,98,134,98,134,98,135,99,Y,Yes,,,,,,,,,,,01611196100374,0601770,00043,Active,Alameda,Alameda Unified,Amelia Earhart Elementary,400 Packet Landing Road,400 Packet Landing Rd.,Alameda,94502-6534,CA,400 Packet Landing Road,400 Packet Landing Rd.,Alameda,94502-6534,CA,(510) 748-4003,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.745289,-122.23928,Joy,Dean,jdean@alameda.k12.ca.us,,,,,,,6/18/2015,6100374
6110779,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,BAY FARM,63,63,100,0,0,0,0,0,0,0,0,0,0,0,0,63,100,63,100,63,100,63,100,63,100,Y,No,,,,,,,,,,,01611196110779,0601770,00006,Active,Alameda,Alameda Unified,Bay Farm,200 Aughinbaugh Way,200 Aughinbaugh Way,Alameda,94502-7451,CA,200 Aughinbaugh Way,200 Aughinbaugh Way,Alameda,94502-7451,CA,(510) 748-4010,,,7/1/1992,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,37.738998,-122.25195,Babs,Freitas,bfreitas@alameda.k12.ca.us,,,,,,,6/18/2015,6110779
6090005,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,DONALD D. LUM ELEMENTARY,99,93,94,5,5,0,0,1,1,1,1,0,0,0,0,96,97,97,98,96,97,95,96,97,98,Y,Yes,,,,,,,,,,,01611196090005,0601770,00051,Active,Alameda,Alameda Unified,Donald D. Lum Elementary,1801 Sandcreek Way,1801 Sandcreek Way,Alameda,94501-6024,CA,1801 Sandcreek Way,1801 Sandcreek Way,Alameda,94501-6024,CA,(510) 748-4009,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.762203,-122.25895,Lawerence,Gotanco,lgotanco@alameda.k12.ca.us,,,,,,,6/18/2015,6090005
6090013,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,EDISON ELEMENTARY,75,71,95,0,0,0,0,4,5,4,5,0,0,0,0,71,95,71,95,71,95,71,95,71,95,Y,Yes,,,,,,,,,,,01611196090013,0601770,00044,Active,Alameda,Alameda Unified,Edison Elementary,2700 Buena Vista Avenue,2700 Buena Vista Ave.,Alameda,94501-1610,CA,2700 Buena Vista Avenue,2700 Buena Vista Ave.,Alameda,94501-1610,CA,(510) 748-4002,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.765083,-122.23421,Aurora,Sweet,asweet@alameda.k12.ca.us,,,,,,,6/18/2015,6090013
6090021,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,FRANK OTIS ELEMENTARY,99,97,98,2,2,0,0,0,0,0,0,0,0,0,0,98,99,98,99,97,98,99,100,99,100,Y,No,,,,,,,,,,,01611196090021,0601770,00054,Active,Alameda,Alameda Unified,Frank Otis Elementary,3010 Fillmore Street,3010 Fillmore St.,Alameda,94501-5544,CA,3010 Fillmore Street,3010 Fillmore St.,Alameda,94501-5544,CA,(510) 748-4013,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.754029,-122.23799,Shirley,Clem,sclem@alameda.k12.ca.us,,,,,,,6/18/2015,6090021
