county_name,total_enrollment,number_of_kindergartens,average_vaccination_rate
ALAMEDA,20810,233,96.10729614
AMADOR,604,12,89
BUTTE,2975,44,88.61363636
CALAVERAS,459,12,88
COLUSA,393,4,99.75
CONTRA COSTA,13951,151,95.56953642
DEL NORTE,318,8,86
EL DORADO,2127,30,89.96666667
FRESNO,19786,209,96.25837321
GLENN,668,10,94.6
HUMBOLDT,2003,42,80
IMPERIAL,3112,38,94.73684211
INYO,204,4,99.75
KERN,17437,160,95.25625
KINGS,2493,30,95.46666667
LAKE,773,12,90.83333333
LASSEN,415,12,78.75
LOS ANGELES,123389,1295,90.34903475
MADERA,3018,37,92
MARIN,2962,46,90.04347826
MARIPOSA,147,6,81.16666667
MENDOCINO,1085,18,85
MERCED,5269,54,96.27777778
MODOC,126,3,86.66666667
MONO,126,2,94
MONTEREY,7131,80,93.3125
NAPA,1568,23,93.69565217
NEVADA,863,18,69
ORANGE,37621,393,93.26717557
PLACER,5590,75,88.09333333
PLUMAS,182,5,84.8
RIVERSIDE,34819,302,95.65562914
SACRAMENTO,19546,234,88.69230769
SAN BENITO,948,15,95.46666667
SAN BERNARDINO,35276,367,94.83378747
SAN DIEGO,43278,462,93.11255411
SAN FRANCISCO,4542,74,92.59459459
SAN JOAQUIN,12428,167,95.18562874
SAN LUIS OBISPO,3474,46,91.08695652
SAN MATEO,8532,109,94.79816514
SANTA BARBARA,7776,88,93.625
SANTA CLARA,22313,258,95.24418605
SANTA CRUZ,3504,45,85.93333333
SHASTA,2332,42,82.73809524
SIERRA,24,1,100
SISKIYOU,427,12,82.91666667
SOLANO,5234,57,95.10526316
SONOMA,6881,104,89.57692308
STANISLAUS,9692,111,95.14414414
SUTTER,1950,27,91.11111111
TEHAMA,981,15,93.06666667
TRINITY,139,7,67.14285714
TULARE,10531,121,96.71900826
TUOLUMNE,596,13,80.23076923
VENTURA,11843,135,93.00740741
YOLO,2465,30,91.2
YUBA,1365,21,92.57142857
Grand Total,528501,5929,92.59183673
